time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	-0.074	-0.212	4.413	0.192	-0.128	4.299
2.000	-0.068	-0.184	4.419	0.174	-0.115	4.295
4.000	-0.040	-0.175	4.419	0.182	-0.116	4.295
6.000	-0.082	-0.188	4.409	0.164	-0.097	4.293
8.000	-0.086	-0.178	4.427	0.168	-0.117	4.295
10.000	-0.056	-0.208	4.416	0.158	-0.122	4.304
12.000	-0.040	-0.204	4.421	0.168	-0.121	4.278
14.000	-0.118	-0.215	4.413	0.160	-0.121	4.290
16.000	-0.080	-0.191	4.413	0.170	-0.116	4.297
18.000	-0.074	-0.183	4.409	0.166	-0.110	4.278
20.000	-0.094	-0.193	4.406	0.178	-0.118	4.290
22.000	-0.076	-0.159	4.403	0.178	-0.110	4.288
24.000	-0.108	-0.180	4.409	0.164	-0.123	4.297
26.000	-0.076	-0.202	4.407	0.172	-0.127	4.292
28.000	-0.068	-0.210	4.410	0.176	-0.121	4.295
30.000	-0.092	-0.217	4.407	0.172	-0.135	4.285
32.000	-0.092	-0.194	4.410	0.164	-0.132	4.290
34.000	-0.114	-0.195	4.406	0.146	-0.130	4.292
36.000	-0.104	-0.205	4.403	0.140	-0.118	4.293
38.000	-0.082	-0.185	4.401	0.164	-0.128	4.280
40.000	-0.058	-0.214	4.406	0.160	-0.118	4.271
42.000	-0.056	-0.217	4.400	0.164	-0.139	4.280
44.000	-0.064	-0.181	4.400	0.116	-0.125	4.282
46.000	-0.112	-0.193	4.412	0.168	-0.116	4.285
48.000	-0.102	-0.213	4.400	0.136	-0.118	4.290
50.000	-0.068	-0.215	4.403	0.158	-0.126	4.278
52.000	-0.066	-0.227	4.403	0.168	-0.093	4.276
54.000	-0.020	-0.189	4.395	0.164	-0.140	4.268
56.000	-0.072	-0.218	4.401	0.142	-0.105	4.288
58.000	-0.076	-0.215	4.412	0.166	-0.097	4.290
60.000	-0.104	-0.214	4.395	0.168	-0.107	4.276
62.000	-0.072	-0.204	4.401	0.134	-0.134	4.283
64.000	-0.090	-0.203	4.401	0.164	-0.131	4.278
66.000	-0.052	-0.225	4.404	0.180	-0.113	4.285
68.000	-0.072	-0.207	4.406	0.144	-0.107	4.290
70.000	-0.118	-0.207	4.410	0.148	-0.106	4.290
72.000	-0.096	-0.209	4.410	0.128	-0.100	4.283
74.000	-0.072	-0.181	4.401	0.134	-0.116	4.287
76.000	-0.112	-0.204	4.412	0.134	-0.120	4.288
78.000	-0.086	-0.194	4.409	0.136	-0.106	4.293
80.000	-0.094	-0.207	4.400	0.128	-0.112	4.280
82.000	-0.068	-0.217	4.406	0.164	-0.111	4.287
84.000	-0.052	-0.215	4.410	0.156	-0.122	4.285
