time(ms)	lx (deg)	ly (deg)	lpupdiameter (mm)	rx (deg)	ry (deg)	rpupdiameter (mm)
0.000	0.106	-0.247	2.904	-0.024	-0.169	2.985
2.000	0.118	-0.265	2.911	-0.042	-0.171	2.990
4.000	0.104	-0.256	2.922	-0.038	-0.166	2.980
6.000	0.108	-0.262	2.906	-0.060	-0.183	2.982
8.000	0.088	-0.267	2.909	-0.068	-0.188	2.990
10.000	0.108	-0.263	2.909	-0.068	-0.202	2.987
12.000	0.100	-0.263	2.913	-0.076	-0.183	2.987
14.000	0.106	-0.258	2.920	-0.056	-0.181	2.985
16.000	0.132	-0.254	2.909	-0.058	-0.179	2.987
18.000	0.108	-0.253	2.911	-0.074	-0.169	2.975
20.000	0.124	-0.253	2.909	-0.058	-0.178	2.992
22.000	0.118	-0.262	2.916	-0.090	-0.174	2.990
24.000	0.092	-0.265	2.913	-0.096	-0.173	2.977
26.000	0.098	-0.285	2.916	-0.082	-0.184	3.002
28.000	0.106	-0.276	2.922	-0.096	-0.195	2.992
30.000	0.128	-0.249	2.913	-0.046	-0.189	2.992
32.000	0.098	-0.276	2.920	-0.074	-0.190	2.995
34.000	0.102	-0.281	2.920	-0.056	-0.195	2.997
36.000	0.092	-0.275	2.920	-0.054	-0.188	2.997
38.000	0.104	-0.272	2.922	-0.076	-0.200	3.002
40.000	0.132	-0.286	2.925	-0.068	-0.184	2.995
42.000	0.104	-0.270	2.927	-0.064	-0.191	2.997
44.000	0.088	-0.270	2.922	-0.038	-0.175	2.990
46.000	0.148	-0.254	2.916	-0.066	-0.186	3.000
48.000	0.098	-0.271	2.922	-0.096	-0.204	3.000
50.000	0.102	-0.263	2.922	-0.042	-0.190	3.007
52.000	0.086	-0.266	2.927	-0.048	-0.195	3.002
54.000	0.148	-0.266	2.922	-0.018	-0.188	3.009
56.000	0.142	-0.282	2.925	-0.042	-0.204	3.014
58.000	0.130	-0.267	2.920	-0.042	-0.188	3.004
60.000	0.142	-0.258	2.918	-0.052	-0.174	3.009
62.000	0.160	-0.268	2.927	-0.052	-0.176	3.014
64.000	0.126	-0.265	2.927	-0.044	-0.189	3.009
66.000	0.146	-0.272	2.931	-0.040	-0.195	3.017
68.000	0.114	-0.272	2.927	-0.042	-0.193	3.012
70.000	0.118	-0.275	2.925	-0.050	-0.188	3.012
72.000	0.144	-0.278	2.929	-0.040	-0.190	3.014
74.000	0.162	-0.263	2.929	-0.048	-0.191	3.014
76.000	0.114	-0.257	2.938	-0.038	-0.194	3.019
78.000	0.148	-0.267	2.927	-0.020	-0.194	3.021
80.000	0.142	-0.270	2.920	-0.042	-0.193	3.009
82.000	0.128	-0.263	2.931	-0.030	-0.180	3.021
84.000	0.112	-0.261	2.927	-0.034	-0.184	3.021
86.000	0.108	-0.278	2.938	-0.036	-0.176	3.019
88.000	0.142	-0.254	2.936	-0.036	-0.191	3.029
90.000	0.116	-0.283	2.936	-0.036	-0.178	3.026
92.000	0.158	-0.283	2.938	-0.016	-0.188	3.024
94.000	0.100	-0.270	2.938	-0.014	-0.178	3.026
96.000	0.116	-0.253	2.943	-0.038	-0.186	3.029
98.000	0.162	-0.257	2.949	-0.020	-0.186	3.026
100.000	0.146	-0.259	2.940	-0.016	-0.174	3.029
102.000	0.138	-0.268	2.934	-0.002	-0.176	3.026
104.000	0.140	-0.271	2.947	-0.004	-0.190	3.029
106.000	0.132	-0.254	2.945	-0.008	-0.191	3.034
108.000	0.144	-0.253	2.947	-0.002	-0.184	3.026
110.000	0.120	-0.237	2.945	-0.028	-0.190	3.029
112.000	0.104	-0.254	2.945	-0.016	-0.183	3.031
114.000	0.160	-0.242	2.945	-0.024	-0.189	3.024
116.000	0.134	-0.262	2.947	-0.018	-0.178	3.029
118.000	0.128	-0.246	2.945	0.008	-0.183	3.029
120.000	0.092	-0.259	2.956	-0.014	-0.185	3.036
122.000	0.128	-0.261	2.949	-0.020	-0.179	3.031
124.000	0.108	-0.252	2.952	0.010	-0.184	3.029
126.000	0.116	-0.258	2.947	-0.024	-0.181	3.026
128.000	0.140	-0.263	2.954	0.016	-0.186	3.036
130.000	0.148	-0.246	2.943	-0.008	-0.185	3.029
132.000	0.114	-0.259	2.945	0.022	-0.188	3.034
134.000	0.168	-0.246	2.947	0.000	-0.174	3.026
136.000	0.128	-0.257	2.947	0.008	-0.165	3.024
138.000	0.136	-0.265	2.956	0.016	-0.186	3.031
140.000	0.116	-0.253	2.949	0.010	-0.190	3.038
142.000	0.114	-0.254	2.963	0.016	-0.176	3.034
144.000	0.152	-0.257	2.963	0.004	-0.174	3.034
146.000	0.144	-0.225	2.956	-0.016	-0.189	3.036
148.000	0.162	-0.239	2.952	-0.022	-0.170	3.036
150.000	0.150	-0.252	2.952	0.004	-0.178	3.041
